t_ms,pwm,count
0,150,0
10,150,-4
20,150,-16
30,150,-33
40,150,-55
50,150,-78
60,150,-106
70,150,-136
80,150,-169
90,150,-200
100,150,-236
110,150,-274
120,150,-313
130,150,-350
140,150,-391
150,150,-434
160,150,-477
171,150,-522
180,150,-563
190,150,-608
200,150,-655
210,150,-702
220,150,-745
230,150,-793
240,150,-842
250,150,-891
260,150,-936
270,150,-986
280,150,-1036
290,150,-1087
300,150,-1133
310,150,-1184
320,150,-1235
330,150,-1287
340,150,-1339
350,150,-1386
360,150,-1438
370,150,-1491
380,150,-1543
390,150,-1591
400,150,-1644
410,150,-1697
420,150,-1750
430,150,-1798
440,150,-1852
450,150,-1906
460,150,-1960
470,150,-2009
480,150,-2063
490,150,-2117
500,150,-2171
510,150,-2225
520,150,-2274
530,150,-2329
540,150,-2383
550,150,-2437
560,150,-2487
570,150,-2541
580,150,-2595
590,150,-2650
600,150,-2699
610,150,-2754
620,150,-2808
630,150,-2863
640,150,-2912
650,150,-2967
660,150,-3022
670,150,-3076
680,150,-3131
690,150,-3181
700,150,-3235
710,150,-3290
720,150,-3345
730,150,-3394
740,150,-3449
750,150,-3504
760,150,-3559
770,150,-3608
780,150,-3663
790,150,-3718
800,150,-3773
811,150,-3828
820,150,-3878
830,150,-3933
840,150,-3988
850,150,-4043
860,150,-4092
870,150,-4147
880,150,-4202
890,150,-4257
900,150,-4306
910,150,-4361
920,150,-4416
930,150,-4472
940,150,-4521
950,150,-4576
960,150,-4631
970,150,-4686
980,150,-4741
990,150,-4791
1000,150,-4846
1010,150,-4901
1020,150,-4956
1030,150,-5006
1040,150,-5060
1050,150,-5116
1060,150,-5171
1070,150,-5220
1080,150,-5275
1090,150,-5330
1100,150,-5386
1110,150,-5435
1120,150,-5490
1130,150,-5545
1140,150,-5600
1150,150,-5655
1160,150,-5705
1170,150,-5760
1180,150,-5815
1190,150,-5870
1200,150,-5920
1210,150,-5975
1220,150,-6030
1230,150,-6085
1240,150,-6135
1250,150,-6189
1260,150,-6245
1270,150,-6300
1280,150,-6349
1290,150,-6404
1300,150,-6459
1310,150,-6514
1320,150,-6569
1330,150,-6619
1340,150,-6674
1350,150,-6729
1360,150,-6784
1370,150,-6834
1380,150,-6889
1390,150,-6944
1400,150,-6999
1410,150,-7049
1420,150,-7104
1430,150,-7159
1440,150,-7214
1451,150,-7269
1460,150,-7319
1470,150,-7374
1480,150,-7429
1490,150,-7484
1500,150,-7534
1510,150,-7589
1520,150,-7644
1530,150,-7699
1540,150,-7749
1550,150,-7804
1560,150,-7859
1570,150,-7914
1580,150,-7964
1590,150,-8019
1600,150,-8074
1610,150,-8130
1620,150,-8185
1630,150,-8234
1640,150,-8290
1650,150,-8345
1660,150,-8400
1670,150,-8450
1680,150,-8505
1690,150,-8560
