t_ms,pwm,count
0,100,0
10,100,-2
20,100,-9
30,100,-20
40,100,-35
50,100,-50
60,100,-69
70,100,-91
80,100,-114
90,100,-136
100,100,-162
110,100,-190
120,100,-219
130,100,-246
140,100,-277
150,100,-309
160,100,-342
171,100,-376
180,100,-407
190,100,-443
200,100,-479
210,100,-516
220,100,-550
230,100,-588
240,100,-627
250,100,-666
260,100,-702
270,100,-742
280,100,-782
290,100,-823
300,100,-861
310,100,-903
320,100,-945
330,100,-987
340,100,-1030
350,100,-1069
360,100,-1112
370,100,-1156
380,100,-1200
390,100,-1240
400,100,-1284
410,100,-1329
420,100,-1374
430,100,-1415
440,100,-1460
450,100,-1505
460,100,-1551
470,100,-1593
480,100,-1639
490,100,-1685
500,100,-1731
510,100,-1778
520,100,-1820
530,100,-1866
540,100,-1913
550,100,-1961
560,100,-2003
570,100,-2050
580,100,-2097
590,100,-2145
600,100,-2188
610,100,-2235
620,100,-2283
630,100,-2331
640,100,-2374
650,100,-2422
660,100,-2470
670,100,-2518
680,100,-2566
690,100,-2610
700,100,-2658
710,100,-2706
720,100,-2755
730,100,-2798
740,100,-2847
750,100,-2895
760,100,-2944
770,100,-2988
780,100,-3036
790,100,-3085
800,100,-3134
811,100,-3183
820,100,-3227
830,100,-3275
840,100,-3324
850,100,-3373
860,100,-3417
870,100,-3466
880,100,-3515
890,100,-3564
900,100,-3608
910,100,-3657
920,100,-3706
930,100,-3756
940,100,-3800
950,100,-3849
960,100,-3898
970,100,-3947
980,100,-3996
990,100,-4041
1000,100,-4090
1010,100,-4139
1020,100,-4189
1030,100,-4233
1040,100,-4282
1050,100,-4332
1060,100,-4381
1070,100,-4425
1080,100,-4475
1090,100,-4524
1100,100,-4573
1110,100,-4618
1120,100,-4667
1130,100,-4717
1140,100,-4766
1150,100,-4816
1160,100,-4860
1170,100,-4909
1180,100,-4959
1190,100,-5008
1200,100,-5053
1210,100,-5103
1220,100,-5152
1230,100,-5201
1240,100,-5246
1250,100,-5295
1260,100,-5345
1270,100,-5395
1280,100,-5439
1290,100,-5489
1300,100,-5538
1310,100,-5588
1320,100,-5637
1330,100,-5682
1340,100,-5731
1350,100,-5781
1360,100,-5830
1370,100,-5875
1380,100,-5925
1390,100,-5974
1400,100,-6024
1410,100,-6068
1420,100,-6118
1430,100,-6168
1440,100,-6217
1451,100,-6267
1460,100,-6311
1470,100,-6361
1480,100,-6411
1490,100,-6460
1500,100,-6505
1510,100,-6554
1520,100,-6604
1530,100,-6654
1540,100,-6698
1550,100,-6748
1560,100,-6798
1570,100,-6847
1580,100,-6892
1590,100,-6942
1600,100,-6991
1610,100,-7041
1620,100,-7090
1630,100,-7135
1640,100,-7185
1650,100,-7235
1660,100,-7284
1670,100,-7329
1680,100,-7378
1690,100,-7428
1700,100,-7478
1710,100,-7522
1720,100,-7572
1730,100,-7622
1740,100,-7671
1750,100,-7716
1760,100,-7766
1770,100,-7815
1780,100,-7865
1790,100,-7915
1800,100,-7960
1810,100,-8009
1820,100,-8059
1830,100,-8109
1840,100,-8153
1850,100,-8203
1860,100,-8253
1870,100,-8302
1880,100,-8347
1890,100,-8397
1900,100,-8447
1910,100,-8496
1920,100,-8541
1930,100,-8590
1940,100,-8640
1950,100,-8690
1960,100,-8740
1970,100,-8784
1980,100,-8834
1990,100,-8884
2000,0,-8933
2010,0,-8978
2020,0,-9027
2030,0,-9075
2040,0,-9123
2050,0,-9166
2060,0,-9213
2070,0,-9260
2080,0,-9306
2091,0,-9352
2100,0,-9393
2110,0,-9438
2120,0,-9483
2130,0,-9527
2140,0,-9566
2150,0,-9609
2160,0,-9652
2170,0,-9694
2180,0,-9732
2190,0,-9774
2200,0,-9815
2210,0,-9856
2220,0,-9892
2230,0,-9932
2240,0,-9971
2250,0,-10010
2260,0,-10049
2270,0,-10083
2280,0,-10121
2290,0,-10158
2300,0,-10196
2310,0,-10229
2320,0,-10265
2330,0,-10301
2340,0,-10336
2350,0,-10368
2360,0,-10402
2370,0,-10437
2380,0,-10471
2390,0,-10501
2400,0,-10534
2410,0,-10567
2420,0,-10599
2430,0,-10631
2440,0,-10660
2450,0,-10691
2460,0,-10722
2470,0,-10753
2480,0,-10780
2490,0,-10809
2500,0,-10839
2510,0,-10868
2520,0,-10894
2530,0,-10922
2540,0,-10950
2550,0,-10978
2560,0,-11003
2570,0,-11030
2580,0,-11056
2590,0,-11082
2600,0,-11108
2610,0,-11131
2620,0,-11157
2630,0,-11182
2640,0,-11206
2650,0,-11228
2660,0,-11252
