t_ms,pwm,count
0,100,0
10,100,-1
20,100,-9
30,100,-20
40,100,-35
50,100,-50
60,100,-70
70,100,-91
80,100,-114
90,100,-136
100,100,-162
110,100,-190
120,100,-219
130,100,-246
140,100,-277
150,100,-309
160,100,-343
171,100,-377
180,100,-408
190,100,-444
200,100,-480
210,100,-517
220,100,-550
230,100,-589
240,100,-627
250,100,-667
260,100,-702
270,100,-742
280,100,-783
290,100,-824
300,100,-862
310,100,-903
320,100,-946
330,100,-988
340,100,-1031
350,100,-1070
360,100,-1113
370,100,-1157
380,100,-1201
390,100,-1241
400,100,-1286
410,100,-1330
420,100,-1375
430,100,-1416
440,100,-1461
450,100,-1507
460,100,-1552
470,100,-1594
480,100,-1640
490,100,-1686
500,100,-1732
510,100,-1779
520,100,-1821
530,100,-1867
540,100,-1914
550,100,-1961
560,100,-2003
570,100,-2051
580,100,-2098
590,100,-2145
600,100,-2188
610,100,-2235
620,100,-2283
630,100,-2331
640,100,-2374
650,100,-2422
660,100,-2470
670,100,-2518
680,100,-2566
690,100,-2609
700,100,-2657
710,100,-2705
720,100,-2754
730,100,-2797
740,100,-2846
750,100,-2894
760,100,-2943
770,100,-2986
780,100,-3035
790,100,-3083
800,100,-3132
811,100,-3181
820,100,-3225
830,100,-3273
840,100,-3322
850,100,-3371
860,100,-3415
870,100,-3464
880,100,-3513
890,100,-3562
900,100,-3606
910,100,-3655
920,100,-3704
930,100,-3753
940,100,-3797
950,100,-3846
960,100,-3895
970,100,-3944
980,100,-3993
990,100,-4037
1000,100,-4086
1010,100,-4136
1020,100,-4185
1030,100,-4229
1040,100,-4278
1050,100,-4328
1060,100,-4377
1070,100,-4421
1080,100,-4470
1090,100,-4520
1100,100,-4569
1110,100,-4613
1120,100,-4662
1130,100,-4712
1140,100,-4761
1150,100,-4810
1160,100,-4855
1170,100,-4904
1180,100,-4954
1190,100,-5003
1200,100,-5047
1210,100,-5097
1220,100,-5146
1230,100,-5195
1240,100,-5240
1250,100,-5289
1260,100,-5338
1270,100,-5388
1280,100,-5432
1290,100,-5482
1300,100,-5531
1310,100,-5581
1320,100,-5630
1330,100,-5674
1340,100,-5724
1350,100,-5773
1360,100,-5823
1370,100,-5867
1380,100,-5916
1390,100,-5966
1400,100,-6015
1410,100,-6060
1420,100,-6109
1430,100,-6159
1440,100,-6208
1451,100,-6258
1460,100,-6302
1470,100,-6351
1480,100,-6401
1490,100,-6450
1500,100,-6495
1510,100,-6544
1520,100,-6594
1530,100,-6643
1540,100,-6688
1550,100,-6737
1560,100,-6787
1570,100,-6836
1580,100,-6881
1590,100,-6930
1600,100,-6980
1610,100,-7029
1620,100,-7079
1630,100,-7123
1640,100,-7173
1650,100,-7222
1660,100,-7272
1670,100,-7316
1680,100,-7366
1690,100,-7415
1700,100,-7465
1710,100,-7509
1720,100,-7559
1730,100,-7608
1740,100,-7658
1750,100,-7702
1760,100,-7752
1770,100,-7801
1780,100,-7851
1790,100,-7900
1800,100,-7945
1810,100,-7994
1820,100,-8044
1830,100,-8093
1840,100,-8138
1850,100,-8187
1860,100,-8237
1870,100,-8286
1880,100,-8331
1890,100,-8380
1900,100,-8430
1910,100,-8479
1920,100,-8524
1930,100,-8573
1940,100,-8623
1950,100,-8673
1960,100,-8722
1970,100,-8767
1980,100,-8816
1990,100,-8865
2000,0,-8915
2010,0,-8959
2020,0,-9008
2030,0,-9057
2040,0,-9104
2050,0,-9147
2060,0,-9194
2070,0,-9241
2080,0,-9287
2091,0,-9332
2100,0,-9373
2110,0,-9418
2120,0,-9462
2130,0,-9506
2140,0,-9545
2150,0,-9588
2160,0,-9630
2170,0,-9673
2180,0,-9710
2190,0,-9751
2200,0,-9792
2210,0,-9833
2220,0,-9868
2230,0,-9908
2240,0,-9947
2250,0,-9986
2260,0,-10024
2270,0,-10059
2280,0,-10096
2290,0,-10133
2300,0,-10170
2310,0,-10203
2320,0,-10239
2330,0,-10274
2340,0,-10309
2350,0,-10341
2360,0,-10375
2370,0,-10409
2380,0,-10443
2390,0,-10473
2400,0,-10505
2410,0,-10538
2420,0,-10570
2430,0,-10602
2440,0,-10630
2450,0,-10661
2460,0,-10691
2470,0,-10721
2480,0,-10748
2490,0,-10778
2500,0,-10807
2510,0,-10836
2520,0,-10861
2530,0,-10889
2540,0,-10917
2550,0,-10944
2560,0,-10969
2570,0,-10995
